order,id,date,time,url,visitCount,typedCount,transition
114,2572,8/6/2023,0:48:00,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
115,2498,8/6/2023,0:47:59,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
116,2572,8/6/2023,0:47:57,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
117,2498,8/6/2023,0:47:55,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
118,2572,8/6/2023,0:47:53,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
119,2498,8/6/2023,0:47:51,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
120,2572,8/6/2023,0:47:49,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
121,2498,8/6/2023,0:47:39,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
122,2572,8/6/2023,0:47:37,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
123,2498,8/6/2023,0:47:35,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
124,2572,8/6/2023,0:47:34,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
125,2498,8/6/2023,0:47:31,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
126,2572,8/6/2023,0:47:30,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
127,2498,8/6/2023,0:47:27,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
128,2572,8/6/2023,0:47:26,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
129,2498,8/6/2023,0:47:23,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
130,2572,8/6/2023,0:47:21,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
131,2498,8/6/2023,0:47:02,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
132,2572,8/6/2023,0:47:00,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
133,2498,8/6/2023,0:46:57,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
134,2572,8/6/2023,0:46:55,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
135,2498,8/6/2023,0:46:50,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
136,2572,8/6/2023,0:46:49,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
137,2498,8/6/2023,0:46:46,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
138,2572,8/6/2023,0:46:44,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
139,2498,8/6/2023,0:46:41,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
140,2572,8/6/2023,0:46:39,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
141,2498,8/6/2023,0:46:35,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
142,2572,8/6/2023,0:46:33,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
143,2498,8/6/2023,0:46:12,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
144,2572,8/6/2023,0:46:10,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
145,2498,8/6/2023,0:45:59,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
146,2572,8/6/2023,0:45:57,http://shop179777.horoshop.ua/edit/data.php?handler=17#,54,0,link
147,2498,8/6/2023,0:45:44,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
148,2444,8/6/2023,0:44:56,http://shop179777.horoshop.ua/,44,0,link
149,2444,8/6/2023,0:44:56,http://shop179777.horoshop.ua/,44,0,link
150,2778,8/6/2023,0:44:51,http://shop179777.horoshop.ua/rozmalovky/,2,0,reload
151,2782,8/6/2023,0:44:48,http://shop179777.horoshop.ua/edit/data.php?handler=462,1,0,form_submit
152,2647,8/6/2023,0:43:29,https://www.instagram.com/p/CrBcEkBNVvw/,7,0,link
153,2546,8/6/2023,0:43:17,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
154,2781,8/6/2023,0:42:55,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/341003561_733080698522280_33925334489496479_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=cxW9XTJi1hkAX8-OZ36&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzA4MDg2NzA3ODk1MzMyNzYwMA%3D%3D.2-ccb7-5&oh=00_AfDoNrmbYRaoGw25eP4zteJq5Oi-9VUhek_kVtDiUNef7Q&oe=64D36C90&_nc_sid=b41fef,1,0,link
155,2647,8/6/2023,0:42:45,https://www.instagram.com/p/CrBcEkBNVvw/,7,0,link
156,2780,8/6/2023,0:42:37,https://www.google.com/search?q=%D0%92+%D1%8D%D1%82%D0%BE%D0%B9+%D0%BA%D0%BD%D0%B8%D0%B3%D0%B5+%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE+%D0%B2%D0%BE%D1%81%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%B8+30+%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D1%8B%D1%85+%D1%80%D0%B8%D1%81%D1%83%D0%BD%D0%BA%D0%BE%D0%B2%2C+%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D0%B2+%D1%82%D0%BE%D1%87%D0%BA%D0%B8+%D0%B2+%D1%83%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D0%B9+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8.&oq=%D0%92+%D1%8D%D1%82%D0%BE%D0%B9+%D0%BA%D0%BD%D0%B8%D0%B3%D0%B5+%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE+%D0%B2%D0%BE%D1%81%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%B8+30+%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D1%8B%D1%85+%D1%80%D0%B8%D1%81%D1%83%D0%BD%D0%BA%D0%BE%D0%B2%2C+%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D0%B2+%D1%82%D0%BE%D1%87%D0%BA%D0%B8+%D0%B2+%D1%83%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D0%B9+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8.&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzMzM2owajeoAgCwAgA&sourceid=chrome&ie=UTF-8,2,0,link
157,2780,8/6/2023,0:42:36,https://www.google.com/search?q=%D0%92+%D1%8D%D1%82%D0%BE%D0%B9+%D0%BA%D0%BD%D0%B8%D0%B3%D0%B5+%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE+%D0%B2%D0%BE%D1%81%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%B8+30+%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D1%8B%D1%85+%D1%80%D0%B8%D1%81%D1%83%D0%BD%D0%BA%D0%BE%D0%B2%2C+%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D0%B2+%D1%82%D0%BE%D1%87%D0%BA%D0%B8+%D0%B2+%D1%83%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D0%B9+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8.&oq=%D0%92+%D1%8D%D1%82%D0%BE%D0%B9+%D0%BA%D0%BD%D0%B8%D0%B3%D0%B5+%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE+%D0%B2%D0%BE%D1%81%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%B8+30+%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D1%8B%D1%85+%D1%80%D0%B8%D1%81%D1%83%D0%BD%D0%BA%D0%BE%D0%B2%2C+%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D0%B2+%D1%82%D0%BE%D1%87%D0%BA%D0%B8+%D0%B2+%D1%83%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D0%B9+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8.&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzMzM2owajeoAgCwAgA&sourceid=chrome&ie=UTF-8,2,0,generated
158,2779,8/6/2023,0:42:24,http://shop179777.horoshop.ua/edit/edit.php?back=%2Fedit%2Fdata.php%3Fhandler%3D17&parent=1089&id=addnew&handler=462&checkcode=yamete_kudasai,1,0,link
159,2498,8/6/2023,0:42:16,http://shop179777.horoshop.ua/edit/data.php?handler=17,78,0,link
160,2546,8/6/2023,0:42:10,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
161,2647,8/6/2023,0:42:09,https://www.instagram.com/p/CrBcEkBNVvw/,7,0,link
162,2546,8/6/2023,0:42:09,https://www.instagram.com/zakhoplyve_dozvillia/,55,0,link
163,2778,8/6/2023,0:41:59,http://shop179777.horoshop.ua/rozmalovky/,2,0,link
164,2778,8/6/2023,0:41:59,http://shop179777.horoshop.ua/rozmalovky/,2,0,link
